# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
LHS 1478 b,Confirmed,0.00733,0.0006,0.0006,,,,0.1106,0.0045,0.0045,1.9495378,4.1e-06,4.1e-06,0.01848,0.00063,0.00063,,,,87.45,0.05,0.05,,2021,2021-02-24,,,,,,,,,,,,,,,,,,,0.717,0.013,0.013,,,,3.13,0.25,0.25,595.0,10.0,10.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,TOI-1640,,LHS 1478,44.325000006,76.553611125,13.0,,,,,18.21,,,-0.13,0.19,0.19,0.236,0.012,0.012,0.246,0.008,0.008,M3.5V,,,,3381.0,54.0,54.0,,,TOI-1640
LHS 1678 b,Confirmed,0.00019,0.00019,0.0003,,,,0.06209,0.00393,0.00393,0.8602322,6.8e-06,6.8e-06,0.01251,0.00059,0.00059,0.041,0.041,0.066,87.55,1.6,1.6,,2021,2021-10-26,5.7,124.0,124.0,,,,,,,2458121.16881,0.00522,0.00522,,,,,,,0.24,0.16,0.16,,,,0.2,0.2,0.2,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,TOI-696 b,,LHS 1678,68.1789866289,-39.7908744112,12.0,,,,,19.89,0.01,0.01,,,,0.345,0.014,0.014,0.329,0.01,0.01,M2V,,,,3490.0,50.0,50.0,,,TOI-696
LHS 1678 c,Confirmed,0.00123,0.00123,0.00135,,,,0.08761,0.00571,0.00571,3.694237,2.4e-06,2.4e-06,0.0331,0.0016,0.0016,0.034,0.034,0.07,89.09,0.57,0.57,,2021,2021-10-26,359.4,120.0,120.0,,,,,,,2459120.36061683,0.00399,0.00399,,,,,,,0.39,0.14,0.14,,,,0.7,0.7,0.7,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,TOI-696 c,,LHS 1678,68.1789866289,-39.7908744112,12.0,,,,,19.89,0.01,0.01,,,,0.345,0.014,0.014,0.329,0.01,0.01,M2V,,,,3490.0,50.0,50.0,,,TOI-696
LHS 1815 b,Confirmed,0.0132,0.0047,0.0047,,,,0.09707,0.00571,0.00571,3.81433,3e-05,3e-05,0.0404,0.0094,0.0094,0.0,,,88.125,1.113,1.113,,2020,2020-03-11,,,,,,,,,,2458327.4161,0.0016,0.0016,,,,,,,,,,,,,2.7,1.0,1.0,617.0,84.0,84.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,TOI-704 b,,LHS 1815,91.08333334,-55.313055572,12.2,,,,,29.87,0.02,0.02,-0.12,0.09,0.09,0.502,0.015,0.015,0.501,0.03,0.03,,,,,3643.0,142.0,142.0,,,TOI-704
LTT 1445A b,Confirmed,0.00903,0.00082,0.00082,,,,0.11643,0.00544,0.00589,5.3587657,4.3e-06,4.3e-06,0.03813,0.0007,0.0007,0.11,0.11,0.0,89.68,0.29,0.22,,2019,2022-10-22,222.0,61.0,120.0,,,,,,,2458412.70851,0.0004,0.0004,,,,,,,0.17,0.12,0.15,,,,2.6,0.21,0.21,424.0,21.0,21.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,TOI-455 b,,LTT 1445A,45.462500017,-16.593333353,,,,,,6.9,,,-0.34,0.09,0.09,0.256,0.014,0.014,0.27,0.012,0.012,M,,,,3340.0,159.0,159.0,,,
LTT 1445A c,Confirmed,0.00485,0.0006,0.0006,,,,0.10233,0.00491,0.00491,3.1239035,3.6e-05,3.6e-05,0.0266,0.0005,0.0005,0.223,0.223,0.0,87.43,0.29,0.18,,2020,2022-10-22,,,,,,,,,,2458412.58159,0.00059,0.00059,,,,,,,0.937,0.016,0.012,,,,1.67,0.21,0.21,508.0,25.0,25.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,TOI-455 c,,LTT 1445A,45.462500017,-16.593333353,,,,,,6.9,,,-0.34,0.09,0.09,0.256,0.014,0.014,0.27,0.012,0.012,M,,,,3340.0,159.0,159.0,,,
LTT 3780 b,Confirmed,0.00982,0.0016,0.0016,,,,0.11883,0.00669,0.00669,0.7683881,8.4e-05,8.4e-05,0.012,,,0.064,0.046,0.075,85.9,0.5,0.59,,2020,2020-03-04,251.0,66.0,66.0,,,,,,,2458543.91281,0.00052,0.00048,,,,,,,0.518,0.089,0.059,,,,,,,892.0,,,,,,,,,Published in a refereed paper,Primary Transit,Spectrum,Primary Transit,"TOI-732 b, LP 729-54 b",,LTT 3780,154.645833345,-11.717777793,13.0,,,,,21.981,0.04,0.04,0.28,0.13,0.13,0.401,0.012,0.012,0.374,0.011,0.011,M4V,,,,3360.0,51.0,51.0,,,"TOI-732, LP 729-54"
TOI-1075 b,Confirmed,0.03131,0.0041,0.00428,,,,0.15978,0.0071,0.01035,0.6047328,3.2e-06,3.2e-06,0.0118,0.0001,0.0001,,,,,,,,2022,2022-10-27,,,,,,,,,,2458654.251,0.0008,0.0008,,,,,,,0.18,0.12,0.12,,,,10.95,1.43,1.5,1336.0,56.0,56.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,TOI-1075,309.970833351,-65.449444466,13.0,,,,,61.5,,,,,,0.6,0.02,0.02,0.58,0.02,0.02,,,,,3921.0,157.0,157.0,,,
TOI-1136 b,Confirmed,0.00947,0.0028,0.0022,,,,0.17,0.0134,0.0187,4.17278,0.00018,0.00024,,,,0.031,0.021,0.038,86.44,0.21,0.27,,2022,2022-10-19,45.0,10.0,26.0,,,,,,,,,,,,,,,,0.705,0.056,0.046,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,TOI-1136,192.183333348,64.855277799,9.5,,,,,84.536,0.16,0.16,0.07,0.06,0.06,1.022,0.027,0.027,0.968,0.036,0.036,,0.7,0.1,0.1,5770.0,50.0,50.0,,,
TOI-1235 b,Confirmed,0.0186,0.00195,0.00195,,,,0.15113,0.0071,0.0071,3.444717,4.2e-05,4.2e-05,0.03826,0.00049,0.00049,,,,88.9,0.57,0.62,,2020,2020-04-15,,,,,,,,,,2458683.6155,0.0017,0.0017,,,,,,,0.25,0.14,0.14,,,,3.4,0.35,0.35,775.0,13.0,13.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,TOI-1235,152.216666684,69.27666668,11.0,,,,,39.68,0.048,0.048,0.33,0.16,0.16,0.63,0.024,0.024,0.619,0.019,0.019,M0.5V,0.8,0.2,0.2,3997.0,51.0,51.0,,,
TOI-1238 b,Confirmed,0.01183,0.00337,0.00362,,,,0.1079,0.0,0.0,0.764597,1.3e-05,1.3e-05,0.0139,0.0008,0.0008,0.25,0.25,0.0,86.51,1.98,2.11,,2021,2021-11-30,,,,,,,,,,2458684.102,0.003,0.003,,,,,,,0.32,0.19,0.17,,,,3.74,1.0,1.0,1130.0,170.0,170.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,TOI-1238,201.383333344,68.83611113,12.8,,,,,70.6424,0.0614,0.0614,0.31,0.19,0.19,0.59,0.02,0.02,0.58,0.02,0.02,,0.8,0.0,10.0,4089.0,54.0,54.0,,,
TOI-1266 c,Confirmed,0.0201,0.0201,0.0,,,,0.1392,0.0134,0.0134,18.80151,0.00069,0.00069,0.1058,0.0024,0.0024,0.04,0.03,0.03,89.3,0.1,0.1,,2020,2021-11-03,,,,,,,,,,2458821.5706,0.0029,0.0034,,,,,,,0.61,0.09,0.09,,,,0.8,0.5,0.9,344.0,16.0,16.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,TOI-1266,197.995833353,65.833611128,13.0,,,,,36.05,0.04,0.04,-0.05,0.5,0.5,0.45,0.03,0.03,0.42,0.02,0.02,M2,7.9,5.2,4.2,3600.0,150.0,150.0,,,
TOI-1411 b,Confirmed,0.0079,0.0041,0.006,,,,0.1213,0.0143,0.0143,1.4520358,9.8e-06,9.8e-06,0.023,0.0026,0.0026,,,,,,,,2022,2022-09-16,,,,,,,,,,2458739.4762,0.0014,0.0014,,,,,,,,,,,,,,,,1136.0,59.0,59.0,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,,,TOI-1411,232.945833349,47.056944451,10.0,,,,,32.5,,,,,,0.59,0.23,0.23,0.66,0.1,0.1,K6V,,,,4266.0,100.0,100.0,,,"HIP 7642, GJ 9522A"
TOI-1442 b,Confirmed,0.005,0.0016,0.0035,,,,0.1044,0.0054,0.0054,0.41,3e-07,3e-07,0.0071,0.0002,0.0002,,,,,,,,2022,2022-09-16,,,,,,,,,,2458683.4523,0.0003,0.0003,,,,,,,0.33,0.13,0.13,,,,,,,1072.0,54.0,54.0,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,,,TOI-1442,287.29166667,74.17222223,14.0,,,,,41.2,,,,,,0.29,0.02,0.02,0.31,0.01,0.01,,,,,3330.0,160.0,160.0,,,
TOI-1444 b,Confirmed,0.01218,0.00223,0.00223,,,,0.12463,0.00571,0.00571,0.4702694,4.4e-06,4.4e-06,,,,0.0,,,82.0,2.0,3.0,,2021,2021-05-20,,,,,,,,,,2458711.3676,0.0016,0.0016,245700.236,0.019,0.019,,,,0.38,0.14,0.14,,,,3.3,0.6,0.6,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,TOI-1444,305.475000018,70.943611138,11.0,,,,,125.0,2.0,2.0,0.13,0.06,0.06,0.934,0.038,0.038,0.907,0.016,0.016,,,,,5430.0,90.0,90.0,,,
TOI-1452 b,Confirmed,0.01517,0.0041,0.0041,,,,0.14917,0.00633,0.00633,11.06201,2e-05,2e-05,0.061,0.003,0.003,0.0,,,89.77,0.16,0.16,,2022,2022-08-15,,,,,,,,,,2458691.5321,0.0015,0.0015,,,,,,,0.19,0.13,0.13,,,,3.5,0.94,0.94,300.0,70.0,30.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,TOI-1452,290.175000014,73.195000013,,,,,,30.5043,0.013,0.013,-0.07,0.02,0.02,0.249,0.008,0.008,0.275,0.009,0.009,M4,,,,3185.0,50.0,50.0,,,
TOI-1468 b,Confirmed,0.0101,0.00076,0.00076,,,,0.1142,0.00348,0.00348,1.8805136,2.6e-06,2.6e-06,0.0208,0.0004,0.0004,,,,88.47,0.29,0.34,,2022,2022-08-23,,,,,,,,,,2458765.68079,0.0007,0.0007,,,,,,,0.35,0.075,0.062,,,,3.4,0.25,0.25,682.2,6.9,7.4,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,TOI-1468,16.654166679,19.225000011,12.0,,,,,24.72,,,-0.04,0.07,0.07,0.339,0.011,0.011,0.344,0.005,0.005,M3.0V,,,,3496.0,25.0,25.0,,,
TOI-1634 b,Confirmed,0.01545,0.0022,0.0022,,,,0.1597,0.00723,0.00723,0.989343,1.5e-05,1.5e-05,0.01545,0.00014,0.00014,0.16,0.16,0.0,88.2,1.1,1.1,,2021,2021-03-26,,,,,,,,,,2458791.51473,0.00061,0.00061,,,,,,,0.24,0.13,0.13,,,,5.04,0.72,0.72,924.0,22.0,22.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,TOI-1634,56.391666678,37.112222234,13.2,,,,,35.274,0.053,0.053,0.23,0.08,0.08,0.502,0.014,0.014,0.45,0.013,0.013,M2,,,,3550.0,69.0,69.0,,,
TOI-1685 b,Confirmed,0.01189,0.00198,0.00198,,,,0.152,0.0062,0.0062,0.6691403,2.3e-06,2.3e-06,,,,,,,84.74,0.6,0.6,,2021,2021-03-03,,,,,,,,,,2458816.22615,0.0006,0.0006,,,,,,,0.473,0.054,0.048,,,,4.41,0.73,0.73,1069.0,16.0,16.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,TOI-1685,68.595833341,43.036944448,,,,,,37.609,0.027,0.027,-0.13,0.16,0.16,0.495,0.019,0.019,0.492,0.015,0.015,M3.0V,1.3,0.7,0.7,3434.0,51.0,51.0,,,
TOI-1693 b,Confirmed,0.0088,0.003,0.0069,,,,0.1258,0.009,0.009,1.7666957,5.4e-06,5.4e-06,0.0226,0.0004,0.0004,,,,,,,,2022,2022-01-30,,,,,,,,,,2458817.6827,0.0014,0.0014,,,,,,,0.3,0.14,0.14,,,,,,,764.0,19.0,19.0,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,,,TOI-1693,90.308333338,34.773055576,13.0,,,,,30.8,,,,,,0.49,0.05,0.05,0.46,0.01,0.01,,,,,3499.0,70.0,70.0,,,
TOI-178 b,Confirmed,0.00472,0.00138,0.00123,,,,0.10278,0.006629,0.006629,1.914558,1.8e-05,1.8e-05,0.02607,0.00078,0.00078,,,,88.8,1.3,0.8,,2020,2021-02-05,,,,,,,,,,2458741.6365,0.0043,0.003,,,,,,,0.17,0.13,0.19,,,,1.05,0.3,0.25,1040.0,22.0,22.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,TOI-178 b,,TOI-178,7.300000004,-30.453611123,12.0,,,,,63.0,0.2,0.2,-0.23,0.05,0.05,0.65,0.029,0.029,0.651,0.011,0.011,,7.1,5.3,6.1,4316.0,70.0,70.0,,,TYC 6991-475-1
TOI-178 c,Confirmed,0.01501,0.00214,0.00173,,,,0.1489,0.00883,0.01017,3.23845,2e-05,2e-05,0.037,0.0011,0.0011,,,,88.4,1.6,1.1,,2018,2021-02-05,,,,,,,,,,2458741.4783,0.0029,0.0034,,,,,,,0.34,0.3,0.23,,,,2.77,0.33,0.22,873.0,18.0,18.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,TOI-178 c,,TOI-178,7.300000004,-30.453611123,12.0,,,,,63.0,0.2,0.2,-0.23,0.05,0.05,0.65,0.029,0.029,0.651,0.011,0.011,,7.1,5.3,6.1,4316.0,70.0,70.0,,,TYC 6991-475-1
TOI-1807 b,Confirmed,0.00714,0.0019,0.0016,,,,0.1222,0.009,0.009,0.549229,5e-05,0.00012,0.0135,0.0022,0.0013,,,,85.0,3.5,3.8,,2021,2022-10-11,,,,,,,,,,2457000.166,0.026,0.026,,,,,,,0.36,0.27,0.27,,,,,,,1499.0,130.0,80.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,TOI-1807,201.283333336,38.922500023,10.0,,,,,42.577,0.076,0.076,-0.029,0.043,0.061,0.75,0.025,0.025,0.68,0.015,0.015,,0.18,0.04,0.04,4757.0,51.0,51.0,,,
TOI-1860 b,Confirmed,0.0069,0.0022,0.0041,,,,0.1169,0.0036,0.0036,1.062107,1.4e-06,1.4e-06,0.0204,0.0002,0.0002,,,,,,,,2022,2022-01-30,,,,,,,,,,2458683.6041,0.0003,0.0003,,,,,,,,,,,,,,,,1885.0,28.0,28.0,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,,,TOI-1860,226.45833335,64.047222234,8.4,,,,,45.9,,,,,,0.99,0.03,0.03,0.94,0.02,0.02,G5V,,,,5752.0,100.0,100.0,,,"GJ 577A, HIP 73869, HD 134319"
TOI-206 b,Confirmed,0.0069,0.0022,0.0041,,,,0.116,0.0045,0.0045,0.7363104,3e-07,3e-07,0.0112,0.0001,0.0001,,,,,,,,2022,2022-01-30,,,,,,,,,,2458325.5431,0.0004,0.0004,,,,,,,0.66,0.03,0.03,,,,,,,910.0,36.0,36.0,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,,,TOI-206,73.73719,-62.522369,,,,,,47.7,,,,,,0.35,0.01,0.01,0.35,0.01,0.01,,,,,3383.0,157.0,157.0,,,
TOI-2260 b,Confirmed,0.011,0.0041,0.0079,,,,0.1445,0.0116,0.0116,0.3524728,4.7e-06,4.7e-06,0.0097,0.0001,0.0001,,,,,,,,2022,2022-01-30,,,,,,,,,,2458928.239,0.0007,0.0007,,,,,,,0.77,0.04,0.04,,,,,,,2609.0,86.0,86.0,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,,,TOI-2260,247.66666668,49.0463889,10.5,,,,,101.3,,,,,,0.99,0.04,0.04,0.94,0.05,0.05,,,,,5534.0,100.0,100.0,,,
TOI-237 b,Confirmed,0.009,0.003,0.006,,,,0.1285,0.0107,0.0107,5.436098,3.9e-05,3.9e-05,0.0341,0.001,0.001,,,,89.5,0.6,0.4,,2020,2020-11-02,,,,,,,,,,,,,,,,,,,0.3,0.21,0.27,,,,,,,355.0,,,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,,,TOI-237,353.241666686,-29.41500002,16.4,,,,,38.11,0.23,0.23,,,,0.179,0.004,0.004,0.211,0.006,0.006,,,,,3212.0,100.0,100.0,,,
TOI-2411 b,Confirmed,0.0123,0.0047,0.0072,,,,0.1499,0.0098,0.0098,0.7826942,3.7e-06,3.7e-06,0.0144,0.0001,0.0001,,,,,,,,2022,2022-01-30,,,,,,,,,,2459116.0139,0.001,0.001,,,,,,,0.39,0.14,0.14,,,,,,,1355.0,45.0,45.0,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,,,TOI-2411,20.925000014,-8.701388904,11.3,,,,,59.5,,,,,,0.65,0.02,0.02,0.68,0.02,0.02,K5V,,,,4099.0,123.0,123.0,,,
TOI-2427 b,Confirmed,0.0129,0.0047,0.0098,,,,0.161,0.0107,0.0107,1.3060011,0.001,0.001,0.0202,0.0002,0.0002,,,,,,,,2022,2022-01-30,,,,,,,,,,2459169.6202,0.0004,0.0004,,,,,,,0.87,0.02,0.02,,,,,,,1117.0,46.0,46.0,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,,,TOI-2427,52.29166667,-31.363055573,10.3,,,,,28.5,,,,,,0.64,0.02,0.02,0.65,0.02,0.02,K,,,,4072.0,121.0,121.0,,,
TOI-2445 b,Confirmed,0.006,0.0022,0.0038,,,,0.1115,0.0071,0.0071,0.3711281,5e-07,5e-07,0.0064,0.0001,0.0001,,,,,,,,2022,2022-01-30,,,,,,,,,,2459144.5697,0.0004,0.0004,,,,,,,0.27,0.14,0.14,,,,,,,1060.0,54.0,54.0,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,,,TOI-2445,43.316666672,0.052500003,15.7,,,,,48.6,,,,,,0.25,0.01,0.01,0.27,0.01,0.01,M,,,,3330.0,157.0,157.0,,,
TOI-270 b,Confirmed,0.006,0.0022,0.0047,,,,0.11125,0.0074,0.0074,3.36008,7e-05,6.5e-05,0.0306,0.0057,0.0033,0.0,,,88.65,1.4,0.85,,2019,2019-03-15,,,,,,,,,,2458461.01464,0.00093,0.00084,,,,,,,,,,,,,,,,528.0,32.0,56.0,,,,,,,Published in a refereed paper,Primary Transit,,Primary Transit,,,TOI-270,68.41666668,-51.956111135,12.6,,,,,22.453,0.021,0.021,-0.17,0.1,0.1,0.4,0.02,0.02,0.38,0.02,0.02,M3.0V,,,,3386.0,131.0,137.0,,,
TOI-402 b,Confirmed,0.0227,0.0025,0.0025,,,,0.1516,0.0053,0.0055,4.75642,0.00021,0.00021,0.05245,0.00072,0.00085,,,,88.36,0.3,0.36,,2019,2019-04-18,,,,,,,,,,2458411.46202,0.00083,0.00071,,,,,,,0.386,0.078,0.061,,,,,,,3109.0,35.0,35.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,TOI-402,36.868245,-27.635184,9.1,,,,,44.86,,,0.03,0.04,0.04,0.851,0.034,0.042,0.839,0.0016,0.0018,,7.5,4.4,4.2,5131.0,74.0,74.0,,,HD 15337
TOI-431 b,Confirmed,0.00966,0.0011,0.0011,,,,0.1142,0.0036,0.0036,0.490047,7e-06,1e-05,0.0113,0.003,0.002,0.0,,,84.3,1.3,1.1,,2021,2021-08-06,,,,,,,,,,2458627.538,0.002,0.003,,,,,,,0.34,0.06,0.07,,,,2.88,0.3,0.3,1862.0,42.0,42.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,HIP 26013 b,,TOI-431,83.270833335,-26.723888909,9.12,,,,,32.61,0.01,0.01,0.2,0.05,0.05,0.78,0.07,0.07,0.731,0.022,0.022,,,,,4850.0,75.0,75.0,,,HIP 26013
TOI-500 b,Confirmed,0.005,0.0022,0.0041,,,,0.1035,0.0107,0.0107,0.5481579,6e-07,6e-07,0.0128,0.0011,0.0011,,,,,,,,2022,2022-01-31,,,,,,,,,,2458468.3917,0.0006,0.0006,,,,,,,0.58,0.17,0.17,,,,,,,1683.0,105.0,105.0,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,"HIP 34269 b, GJ 9224 b",,TOI-500,106.5718,-47.6993,,,,,,47.4,,,,,,0.88,0.25,0.25,0.75,0.06,0.06,,,,,4621.0,50.0,50.0,,,"HIP 34269, GJ 9224"
TOI-561 b,Confirmed,0.00705,0.0006,0.0006,,,,0.1222,0.0036,0.0036,0.4465688,8e-07,8e-07,0.0106,0.0004,0.0004,0.0,,,,,,,2020,2022-10-14,,,,,,,,,,2458517.4988,0.003,0.0022,,,,,,,0.3,0.2,0.2,,,,2.18,0.2,0.2,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,TOI-561,148.183333348,6.216111128,9.5,,,,,86.01,0.4,0.4,-0.4,0.05,0.05,0.805,0.03,0.03,0.832,0.019,0.019,,10.0,3.0,3.0,5326.0,64.0,64.0,,,
TOI-700 b,Confirmed,0.00406,0.00116,0.003,,,,0.0901,0.00776,0.00839,9.97701,0.00028,0.00024,0.0637,0.006,0.0064,0.032,0.024,0.05,89.67,0.32,0.23,,2020,2020-01-07,326.0,103.0,143.0,,,,,,,2458331.3547,0.0032,0.0048,,,,,,,0.2,0.14,0.19,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,Primary Transit,,,TOI-700,97.095833341,-65.579444466,13.0,,,,,31.127,0.02,0.02,-0.07,0.11,0.11,0.416,0.01,0.01,0.42,0.031,0.031,M2V,1.5,0.0,10.0,3480.0,135.0,135.0,,,
TOI-700 d,Confirmed,0.00711,0.00164,0.0022,,,,0.1062,0.0098,0.0098,37.426,0.001,0.0007,0.163,0.015,0.015,0.032,0.023,0.054,89.73,0.122,0.15,,2020,2020-01-07,11.4,131.0,114.0,,,,,,,2458330.4737,0.004,0.0035,,,,,,,0.4,0.22,0.15,,,,,,,295.0,55.0,55.0,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,,,TOI-700,97.095833341,-65.579444466,13.0,,,,,31.127,0.02,0.02,-0.07,0.11,0.11,0.416,0.01,0.01,0.42,0.031,0.031,M2V,1.5,0.0,10.0,3480.0,135.0,135.0,,,
TOI-776 b,Confirmed,0.01466,0.00305,0.00305,,,,0.1633,0.0098,0.0098,8.24664,6e-05,9e-05,0.0652,0.001,0.001,,,,89.65,0.37,0.22,,2020,2020-09-18,,,,,,,,,,2458571.4167,0.0019,0.0015,,,,,,,0.16,0.11,0.16,,,,2.22,0.46,0.46,513.0,12.0,12.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,TOI-776,178.575000006,-37.552777791,11.5,,,,,27.19,0.03,0.03,-0.2,0.12,0.12,0.544,0.028,0.028,0.538,0.024,0.024,M1V,7.8,6.3,3.9,3709.0,70.0,70.0,,,
TOI-833 b,Confirmed,0.006,0.0019,0.0041,,,,0.1133,0.0062,0.0062,1.04318777,3.24e-05,3.24e-05,0.0171,0.0003,0.0003,,,,,,,,2022,2022-01-30,,,,,,,,,,2458597.256,0.001,0.001,,,,,,,0.31,0.14,0.14,,,,,,,1118.0,49.0,49.0,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,,,TOI-833,145.645833345,-62.476111128,12.0,,,,,41.7,,,,,,0.61,0.03,0.03,0.6,0.02,0.02,M0V,,,,3920.0,100.0,100.0,,,
TOI-836 b,Confirmed,0.01425,0.00271,0.00289,,,,0.15202,0.00598,0.00598,3.81673,1e-05,1e-05,0.0422,0.00093,0.00093,0.053,0.042,0.042,87.57,0.44,0.44,,2022,2022-08-16,9.0,92.0,92.0,,,,,,,2458599.9953,0.0019,0.0019,,,,,,,0.58,0.11,0.11,,,,2.38,0.35,0.35,871.0,36.0,36.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,HIP 73427 b,,TOI-836,225.079166673,-24.454444457,9.9,,,,,27.504,0.029,0.029,-0.284,0.067,0.067,0.678,0.041,0.049,0.665,0.01,0.01,,5.4,5.0,6.3,4552.0,154.0,154.0,,,HIP 73427
TRAPPIST-1 b,Confirmed,0.0027,0.0023,0.0023,,,,0.09689,0.00031,0.00031,1.51087081,6e-05,6e-05,0.01111,0.00034,0.00034,0.0,0.0,0.081,89.65,0.27,0.27,,2016,2020-04-09,,,,,,,,,,2457322.51736,0.0001,0.0001,,,,21.0,32.0,32.0,0.126,0.078,0.092,,,,,,,400.1,7.7,7.7,,,,,,,Published in a refereed paper,Primary Transit,TTV,Primary Transit,,H2O,TRAPPIST-1,346.620833343,-5.041388896,18.8,,,,,12.1,0.4,0.4,0.04,0.08,0.08,0.08,0.007,0.007,0.117,0.004,0.004,M8,7.6,2.2,2.2,2560.0,55.0,55.0,,,2MASS J23062928-0502285
TRAPPIST-1 c,Confirmed,0.00434,0.0019,0.0019,,,,0.09421,0.00031,0.00031,2.4218233,1.7e-06,1.7e-06,0.01521,0.00047,0.00047,0.0,0.0,0.083,89.67,0.17,0.17,,2016,2020-04-09,,,,,,,,,,2457282.80728,0.00019,0.00019,,,,,,,0.161,0.084,0.076,,,,,,,341.9,6.6,6.6,,,,,,,Published in a refereed paper,Primary Transit,TTV,Primary Transit,,H2O,TRAPPIST-1,346.620833343,-5.041388896,18.8,,,,,12.1,0.4,0.4,0.04,0.08,0.08,0.08,0.007,0.007,0.117,0.004,0.004,M8,7.6,2.2,2.2,2560.0,55.0,55.0,,,2MASS J23062928-0502285
